,vc1,vc2,vc,vc_int
98,9-1-36(a),22-2-88(b),9-1-36(a),119
99,9-1-36(a),22-2-88(b),9-1-36(a),119
100,9-1-36(a),9-1-104,9-1-36(a),119
101,9-1-36(a),22-2-88(b),9-1-36(a),119
102,9-1-36(a),22-2-88(b),9-1-36(a),119
103,9-1-36(a),22-2-88(b),9-1-36(a),119
104,61-63.0100,9-1-50 (e),61-63.0100,58
105,9-1-36(a),22-2-88(b),9-1-36(a),119
106,9-1-36(a),9-1-104,9-1-36(a),119
107,9-1-36(a),22-2-88(b),9-1-36(a),119
108,9-1-36(a),22-2-88(b),9-1-36(a),119
109,9-1-36(a),9-1-104,9-1-36(a),119
110,22-2-17,9-1-104,22-2-17,7
111,9-1-36(a),22-2-88(b),9-1-36(a),119
112,61-63.0600,22-2-88(b),61-63.0600,60
113,61-63.0600,22-2-88(b),61-63.0600,60
114,61-63.0600,22-2-88(b),61-63.0600,60
115,9-1-36(a),22-2-88(b),9-1-36(a),119
116,22-2-83(a)(b)(c),22-2-88(b),22-2-83(a)(b)(c),25
117,22-2-23,22-2-88(b),22-2-23,12
118,9-1-36(a),22-2-88(b),9-1-36(a),119
119,9-1-36(a),9-1-104,9-1-36(a),119
120,9-1-36(a),22-2-88(b),9-1-36(a),119
121,9-1-36(a),22-2-88(b),9-1-36(a),119
122,9-1-36(a),9-1-104,9-1-36(a),119
123,9-1-36(a),22-2-88(b),9-1-36(a),119
124,9-1-36(a),22-2-61,9-1-36(a),119
125,9-1-36(a),22-2-88(b),9-1-36(a),119
126,61-63.0100,22-2-88(b),61-63.0100,58
127,61-63.0100,22-2-88(b),61-63.0100,58
128,9-1-36(a),22-2-88(b),9-1-36(a),119
129,9-1-36(a),22-2-88(b),9-1-36(a),119
130,22-2-17,22-2-88(b),22-2-17,7
131,9-1-36(a),22-2-88(b),9-1-36(a),119
132,9-1-36(a),9-1-104,9-1-36(a),119
133,9-1-36(a),9-1-104,9-1-36(a),119
134,9-1-36(a),22-2-88(b),9-1-36(a),119
135,9-1-36(a),22-2-88(b),9-1-36(a),119
136,9-1-36(a),22-2-88(b),9-1-36(a),119
137,9-1-36(a),9-1-110(a),9-1-36(a),119
138,9-1-36(a),22-2-61,9-1-36(a),119
139,9-1-36(a),22-2-88(b),9-1-36(a),119
140,9-1-36(a),22-2-61,9-1-36(a),119
141,9-1-36(a),9-1-104,9-1-36(a),119
142,9-1-36(a),22-2-88(b),9-1-36(a),119
143,9-1-36(a),22-2-43,9-1-36(a),119
144,9-1-36(a),22-2-88(b),9-1-36(a),119
145,9-1-36(a),22-2-88(b),9-1-36(a),119
146,9-1-36(a),22-2-88(b),9-1-36(a),119
147,9-1-36(a),9-1-104,9-1-36(a),119
148,9-1-36(a),22-2-88(b),9-1-36(a),119
149,9-1-36(a),9-1-104,9-1-36(a),119
150,9-1-36(a),9-1-104,9-1-36(a),119
151,9-1-36(a),22-2-43,9-1-36(a),119
152,9-1-36(a),22-2-88(b),9-1-36(a),119
153,9-1-36(a),22-2-61,9-1-36(a),119
154,9-1-36(a),22-2-88(b),9-1-36(a),119
155,9-1-36(a),22-2-61,9-1-36(a),119
156,9-1-36(a),22-2-88(b),9-1-36(a),119
157,9-1-36(a),22-2-88(b),9-1-36(a),119
158,9-1-36(a),9-1-104,9-1-36(a),119
159,22-2-17,22-2-88(b),22-2-17,7
160,9-1-36(a),22-2-88(b),9-1-36(a),119
161,9-1-36(a),22-2-88(b),9-1-36(a),119
162,9-1-36(a),22-2-88(b),9-1-36(a),119
163,9-1-36(a),9-1-104,9-1-36(a),119
164,9-1-36(a),22-2-88(b),9-1-36(a),119
165,9-1-36(a),22-2-88(b),9-1-36(a),119
166,9-1-36(a),22-2-83(c),9-1-36(a),119
167,9-1-36(a),22-2-43,9-1-36(a),119
168,9-1-36(a),22-2-88(b),9-1-36(a),119
169,9-1-36(a),22-2-88(b),9-1-36(a),119
170,9-1-36(a),22-2-88(b),9-1-36(a),119
171,9-1-36(a),22-2-88(b),9-1-36(a),119
172,61-47.0000/47.0108,22-2-88(b),61-47.0000/47.0108,55
173,61-90.0100,9-1-36(a),61-90.0100,70
174,61-90.0100,61-5-18,61-90.0100,70
175,9-1-36(a),22-2-88(b),9-1-36(a),119
176,9-1-36(a),9-1-104,9-1-36(a),119
177,9-1-36(a),22-2-88(b),9-1-36(a),119
178,9-1-36(a),22-2-88(b),9-1-36(a),119
179,9-1-36(a),22-2-88(b),9-1-36(a),119
180,9-1-36(a),22-2-22(a),9-1-36(a),119
181,9-1-36(a),22-2-61,9-1-36(a),119
182,9-1-36(a),22-2-88(b),9-1-36(a),119
183,9-1-36(a),9-1-104,9-1-36(a),119
184,9-1-36(a),22-2-61,9-1-36(a),119
185,9-1-36(a),9-1-104,9-1-36(a),119
186,9-1-36(a),22-2-88(b),9-1-36(a),119
187,9-1-36(a),22-2-88(b),9-1-36(a),119
188,9-1-36(a),22-2-61,9-1-36(a),119
189,9-1-36(a),22-2-88(b),9-1-36(a),119
190,9-1-36(a),22-2-88(b),9-1-36(a),119
191,9-1-36(a),22-2-88(b),9-1-36(a),119
192,9-1-36(a),22-2-88(b),9-1-36(a),119
193,9-1-36(a),22-2-88(b),9-1-36(a),119
194,9-1-36(a),22-2-88(b),9-1-36(a),119
195,9-1-36(a),22-2-61,9-1-36(a),119
196,9-1-36(a),22-2-88(b),9-1-36(a),119
197,9-1-36(a),22-2-61,9-1-36(a),119
198,9-1-36(a),22-2-61,9-1-36(a),119
199,9-1-36(a),22-2-61,9-1-36(a),119
200,9-1-36(a),22-2-61,9-1-36(a),119
201,9-1-36(a),9-1-104,9-1-36(a),119
202,9-1-36(a),22-2-88(b),9-1-36(a),119
203,9-1-36(a),22-2-61,9-1-36(a),119
204,9-1-36(a),22-2-49(d),9-1-36(a),119
205,9-1-36(a),22-2-88(b),9-1-36(a),119
206,61-63.0100,22-2-88(b),61-63.0100,58
207,61-63.0100,22-2-61,61-63.0100,58
208,61-63.0100,22-2-88(b),61-63.0100,58
209,61-63.0100,22-2-88(b),61-63.0100,58
210,9-1-36(a),22-2-88(b),9-1-36(a),119
211,9-1-36(a),22-2-88(b),9-1-36(a),119
212,9-1-36(c),22-2-88(b),9-1-36(c),120
213,9-1-36(a),22-2-88(b),9-1-36(a),119
214,9-1-36(a),22-2-88(b),9-1-36(a),119
215,9-1-36(a),22-2-88(b),9-1-36(a),119
216,9-1-36(a),22-2-88(b),9-1-36(a),119
217,9-1-36(a),9-1-110(a),9-1-36(a),119
218,9-1-36(a),22-2-43,9-1-36(a),119
219,9-1-36(a),22-2-88(b),9-1-36(a),119
220,9-1-36(a),22-2-88(b),9-1-36(a),119
221,9-1-36(a),22-2-88(b),9-1-36(a),119
222,9-1-36(a),22-2-61,9-1-36(a),119
223,9-1-36(a),22-2-88(b),9-1-36(a),119
224,9-1-36(a),22-2-61,9-1-36(a),119
225,9-1-36(a),9-1-50(b),9-1-36(a),119
226,9-1-36(a),9-1-113,9-1-36(a),119
227,9-1-36(a),20130901,9-1-36(a),119
228,9-1-36(a),22-2-61,9-1-36(a),119
229,22-2-17,22-2-61,22-2-17,7
230,9-1-36(a),22-2-88(b),9-1-36(a),119
231,9-1-36(a),22-2-61,9-1-36(a),119
232,9-1-36(a),22-2-88(b),9-1-36(a),119
233,9-1-36(a),22-2-61,9-1-36(a),119
234,9-1-36(a),22-2-88(b),9-1-36(a),119
235,9-1-36(a),22-2-88(b),9-1-36(a),119
236,9-1-36(a),22-2-61,9-1-36(a),119
237,9-1-36(a),22-2-61,9-1-36(a),119
238,9-1-36(a),22-2-61,9-1-36(a),119
239,9-1-36(a),22-2-61,9-1-36(a),119
240,9-1-36(a),22-2-88(b),9-1-36(a),119
241,9-1-36(a),22-2-61,9-1-36(a),119
242,9-1-36(a),22-2-88(b),9-1-36(a),119
243,9-1-36(a),22-2-61,9-1-36(a),119
244,9-1-36(a),22-2-88(b),9-1-36(a),119
245,9-1-36(a),22-2-88(b),9-1-36(a),119
246,9-1-36(a),22-2-61,9-1-36(a),119
247,9-1-36(a),9-1-104,9-1-36(a),119
248,9-1-36(a),22-2-88(b),9-1-36(a),119
249,9-1-36(a),22-2-88(b),9-1-36(a),119
250,9-1-36(a),22-2-88(b),9-1-36(a),119
251,9-1-36(a),22-2-88(b),9-1-36(a),119
252,9-1-36(a),22-2-88(b),9-1-36(a),119
253,9-1-36(a),22-2-88(b),9-1-36(a),119
254,9-1-36(a),22-2-88(b),9-1-36(a),119
255,9-1-36(a),9-1-110(a),9-1-36(a),119
256,9-1-36(a),22-2-88(b),9-1-36(a),119
257,9-1-36(a),22-2-88(b),9-1-36(a),119
258,22-2-88,22-2-88(b),22-2-88,33
259,9-1-36(a),22-2-61,9-1-36(a),119
260,9-1-36(a),22-2-61,9-1-36(a),119
261,9-1-36(a),22-2-61,9-1-36(a),119
262,9-1-36(a),22-2-88(b),9-1-36(a),119
263,9-1-36(a),9-1-104,9-1-36(a),119
264,9-1-36(a),22-2-88(b),9-1-36(a),119
265,9-1-36(a),22-2-88(b),9-1-36(a),119
266,9-1-36(a),22-2-88(b),9-1-36(a),119
267,9-1-36(a),22-2-61,9-1-36(a),119
268,9-1-36(a),22-2-61,9-1-36(a),119
269,9-1-36(a),22-2-88(b),9-1-36(a),119
270,22-2-17,22-2-61,22-2-17,7
271,61-63.0100,22-2-61,61-63.0100,58
272,9-1-36(a),22-2-61,9-1-36(a),119
273,9-1-36(a),22-2-88(b),9-1-36(a),119
274,9-1-36(a),22-2-88(b),9-1-36(a),119
275,9-1-36(a),22-2-88(b),9-1-36(a),119
276,9-1-36(a),22-2-88(b),9-1-36(a),119
277,22-2-17,22-2-88(b),22-2-17,7
278,9-1-36(a),22-2-88(b),9-1-36(a),119
279,9-1-36(a),22-2-88(b),9-1-36(a),119
280,9-1-36(a),22-2-61,9-1-36(a),119
281,9-1-36(a),22-2-88(b),9-1-36(a),119
282,61-63.0100,22-2-88(b),61-63.0100,58
283,61-63.0100,22-2-61,61-63.0100,58
284,61-63.0100,22-2-88(b),61-63.0100,58
285,9-1-36(a),9-1-104,9-1-36(a),119
286,9-1-36(a),22-2-88(b),9-1-36(a),119
287,9-1-36(a),9-1-104,9-1-36(a),119
288,9-1-36(a),22-2-88(b),9-1-36(a),119
289,9-1-36(a),22-2-88(b),9-1-36(a),119
290,9-1-36(a),22-2-88(b),9-1-36(a),119
291,9-1-36(a),9-1-104,9-1-36(a),119
292,9-1-36(a),22-2-88(b),9-1-36(a),119
293,9-1-36(a),22-2-61,9-1-36(a),119
294,9-1-36(a),22-2-88(b),9-1-36(a),119
295,22-2-23,22-2-88(b),22-2-23,12
296,9-1-36(a),22-2-61,9-1-36(a),119
297,19450901,22-2-88(b),19450901,0
298,9-1-36(a),9-1-104,9-1-36(a),119
299,22-2-17,22-2-43,22-2-17,7
300,9-1-36(a),22-2-88(b),9-1-36(a),119
301,9-1-36(a),22-2-88(b),9-1-36(a),119
302,9-1-36(a),22-2-88(b),9-1-36(a),119
303,9-1-36(a),22-2-88(b),9-1-36(a),119
304,61-63.0100,22-2-45,61-63.0100,58
305,61-63.0100,22-2-88(b),61-63.0100,58
306,61-63.0100,22-2-88(b),61-63.0100,58
307,9-1-36(a),22-2-88(b),9-1-36(a),119
308,22-2-43,22-2-61,22-2-43,16
309,9-1-36(a),22-2-88(b),9-1-36(a),119
310,61-63.0600,22-2-45,61-63.0600,60
311,9-1-36(a),22-2-61,9-1-36(a),119
312,9-1-36(a),22-2-88(b),9-1-36(a),119
313,9-1-36(a),22-2-83(d),9-1-36(a),119
314,9-1-36(a),22-2-88(b),9-1-36(a),119
315,9-1-36(a),22-2-88(b),9-1-36(a),119
316,9-1-36(a),22-2-88(b),9-1-36(a),119
317,19450901,22-2-88(b),19450901,0
318,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
319,9-1-36(a),22-2-88(b),9-1-36(a),119
320,9-1-36(a),9-1-104,9-1-36(a),119
321,22-2-17,22-2-88(b),22-2-17,7
322,9-1-36(a),9-1-104,9-1-36(a),119
323,9-1-36(a),9-1-104,9-1-36(a),119
324,9-1-36(a),22-2-61,9-1-36(a),119
325,9-1-36(a),22-2-88(b),9-1-36(a),119
326,9-1-36(a),9-1-104,9-1-36(a),119
327,9-1-36(a),22-2-88(b),9-1-36(a),119
328,9-1-36(a),22-2-61,9-1-36(a),119
329,9-1-36(a),22-2-88(b),9-1-36(a),119
330,22-2-17,9-1-104,22-2-17,7
331,22-2-17,9-1-110(a),22-2-17,7
332,9-1-36(a),22-2-88(b),9-1-36(a),119
333,9-1-36(a),9-1-104,9-1-36(a),119
334,9-1-36(a),9-1-104,9-1-36(a),119
335,9-1-36(a),22-2-88(b),9-1-36(a),119
336,9-1-36(a),22-2-88(b),9-1-36(a),119
337,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
338,9-1-36(a),22-2-88(b),9-1-36(a),119
339,9-1-36(a),9-1-110(a),9-1-36(a),119
340,9-1-36(a),9-1-110(a),9-1-36(a),119
341,9-1-36(a),22-2-88(b),9-1-36(a),119
342,9-1-36(a),22-2-88(b),9-1-36(a),119
343,9-1-36(a),22-2-88(b),9-1-36(a),119
344,9-1-36(a),22-2-88(b),9-1-36(a),119
345,9-1-36(a),22-2-88(b),9-1-36(a),119
346,9-1-36(a),9-1-104,9-1-36(a),119
347,9-1-36(a),22-2-88(b),9-1-36(a),119
348,22-2-17,9-1-110(a),22-2-17,7
349,9-1-36(a),22-2-61,9-1-36(a),119
350,9-1-36(a),9-1-104,9-1-36(a),119
351,22-2-17,22-2-88(b),22-2-17,7
352,9-1-36(a),9-1-104,9-1-36(a),119
353,9-1-36(a),22-2-61,9-1-36(a),119
354,9-1-36(a),22-2-61,9-1-36(a),119
355,9-1-36(a),22-2-61,9-1-36(a),119
356,9-1-36(a),22-2-88(b),9-1-36(a),119
357,9-1-36(a),22-2-88(b),9-1-36(a),119
358,9-1-36(a),22-2-88(b),9-1-36(a),119
359,9-1-36(a),9-1-110(a),9-1-36(a),119
360,9-1-36(a),9-1-110(a),9-1-36(a),119
361,9-1-36(a),9-1-104,9-1-36(a),119
362,9-1-36(a),9-1-104,9-1-36(a),119
363,9-1-36(a),9-1-110(a),9-1-36(a),119
364,9-1-36(a),22-2-88(b),9-1-36(a),119
365,9-1-36(a),9-1-201(a),9-1-36(a),119
366,22-2-17,22-2-45,22-2-17,7
367,9-1-36(a),22-2-45,9-1-36(a),119
368,9-1-36(a),22-2-88(b),9-1-36(a),119
369,9-1-36(a),22-2-45,9-1-36(a),119
370,9-1-36(a),22-2-88(b),9-1-36(a),119
371,9-1-36(a),22-2-88(b),9-1-36(a),119
372,9-1-36(a),9-1-110(a),9-1-36(a),119
373,9-1-36(a),22-2-88(b),9-1-36(a),119
374,9-1-36(a),9-1-110(a),9-1-36(a),119
375,9-1-36(a),22-2-88(b),9-1-36(a),119
376,9-1-355,9-1-105,9-1-355,118
377,9-1-36(a),22-2-88(b),9-1-36(a),119
378,9-1-36(a),22-2-88(b),9-1-36(a),119
379,9-1-36(a),22-2-88(b),9-1-36(a),119
380,9-1-36(a),22-2-88(b),9-1-36(a),119
381,9-1-36(a),22-2-88(b),9-1-36(a),119
382,9-1-36(a),9-1-110(a),9-1-36(a),119
383,9-1-36(a),9-1-110(a),9-1-36(a),119
384,9-1-36(a),22-2-88(b),9-1-36(a),119
385,9-1-36(a),22-2-61,9-1-36(a),119
386,9-1-36(a),22-2-88(b),9-1-36(a),119
387,9-1-36(a),22-2-88(b),9-1-36(a),119
388,9-1-36(a),22-2-88(b),9-1-36(a),119
389,9-1-36(a),9-1-104,9-1-36(a),119
390,9-1-36(a),22-2-88(b),9-1-36(a),119
391,9-1-36(a),22-2-88(b),9-1-36(a),119
392,22-2-88,22-2-88(b),22-2-88,33
393,9-1-36(a),9-1-104,9-1-36(a),119
394,9-1-36(a),22-2-88(b),9-1-36(a),119
395,9-1-36(a),22-2-88(b),9-1-36(a),119
396,9-1-36(a),9-1-104,9-1-36(a),119
397,9-1-36(a),22-2-88(b),9-1-36(a),119
398,22-2-88,9-1-104,22-2-88,33
399,9-1-36(a),22-2-88(b),9-1-36(a),119
400,9-1-36(a),9-1-104,9-1-36(a),119
401,9-1-36(a),22-2-88(b),9-1-36(a),119
402,9-1-36(a),22-2-88(b),9-1-36(a),119
403,9-1-36(a),22-2-88(b),9-1-36(a),119
404,9-1-36(a),22-2-88(b),9-1-36(a),119
405,9-1-36(a),9-1-110(a),9-1-36(a),119
406,9-1-36(a),9-1-110(a),9-1-36(a),119
407,22-2-88,22-2-88(b),22-2-88,33
408,9-1-36(a),9-1-104,9-1-36(a),119
409,22-2-17,22-2-88(b),22-2-17,7
410,61-90.0100,22-2-88(b),61-90.0100,70
411,22-2-56,22-2-88(b),22-2-56,22
412,9-1-36(a),22-2-88(b),9-1-36(a),119
413,9-1-36(a),22-2-61,9-1-36(a),119
414,9-1-36(a),22-2-88(b),9-1-36(a),119
415,9-1-36(a),22-2-88(b),9-1-36(a),119
416,9-1-36(a),22-2-88(b),9-1-36(a),119
417,9-1-36(a),22-2-88(b),9-1-36(a),119
418,9-1-36(a),9-1-104,9-1-36(a),119
419,9-1-36(a),9-1-104,9-1-36(a),119
420,9-1-36(a),22-2-88(b),9-1-36(a),119
421,9-1-36(a),22-2-61,9-1-36(a),119
422,9-1-36(a),9-1-104,9-1-36(a),119
423,9-1-36(a),22-2-88(b),9-1-36(a),119
424,9-1-36(a),22-2-61,9-1-36(a),119
425,9-1-36(a),22-2-88(b),9-1-36(a),119
426,9-1-36(a),22-2-45,9-1-36(a),119
427,9-1-36(a),9-1-104,9-1-36(a),119
428,9-1-36(a),22-2-88(b),9-1-36(a),119
429,9-1-36(a),22-2-88(b),9-1-36(a),119
430,9-1-36(a),22-2-88(b),9-1-36(a),119
431,9-1-36(a),22-2-88(b),9-1-36(a),119
432,9-1-36(a),22-2-88(b),9-1-36(a),119
433,9-1-36(a),22-2-88(b),9-1-36(a),119
434,9-1-36(a),22-2-88(b),9-1-36(a),119
435,9-1-36(a),22-2-17(a),9-1-36(a),119
436,9-1-36(a),22-2-88(b),9-1-36(a),119
437,9-1-36(a),22-2-88(b),9-1-36(a),119
438,9-1-36(a),9-1-104,9-1-36(a),119
439,9-1-36(a),20130901,9-1-36(a),119
440,9-1-36(a),22-2-88(b),9-1-36(a),119
441,9-1-36(a),9-1-104,9-1-36(a),119
442,61-63.0500,22-2-61,61-63.0500,59
443,9-1-36(a),22-2-88(a),9-1-36(a),119
444,9-1-36(a),22-2-88(b),9-1-36(a),119
445,9-1-36(a),22-2-84(a),9-1-36(a),119
446,9-1-36(a),22-2-88(a),9-1-36(a),119
447,9-1-36(a),22-2-88(b),9-1-36(a),119
448,22-2-83(a)(b)(c),22-2-88(b),22-2-83(a)(b)(c),25
449,22-2-83(a)(b)(c),22-2-45,22-2-83(a)(b)(c),25
450,9-1-36(a),22-2-88(b),9-1-36(a),119
451,9-1-36(a),22-2-88(a),9-1-36(a),119
452,9-1-36(a),22-2-88(b),9-1-36(a),119
453,22-2-83,22-2-88(b),22-2-83,24
454,9-1-36(a),9-1-104,9-1-36(a),119
455,9-1-36(a),22-2-88(b),9-1-36(a),119
456,9-1-36(a),22-2-43,9-1-36(a),119
457,9-1-36(a),22-2-88(b),9-1-36(a),119
458,9-1-36(a),22-2-88(a),9-1-36(a),119
459,9-1-36(a),22-2-88(a),9-1-36(a),119
460,9-1-36(a),9-1-104,9-1-36(a),119
461,9-1-36(a),22-2-88(b),9-1-36(a),119
462,22-2-22,22-2-88(b),22-2-22,11
463,9-1-36(a),9-1-104,9-1-36(a),119
464,9-1-36(a),22-2-88(b),9-1-36(a),119
465,9-1-36(a),9-1-104,9-1-36(a),119
466,9-1-36(a),9-1-110(a),9-1-36(a),119
467,9-1-36(a),22-2-88(b),9-1-36(a),119
468,9-1-36(a),22-2-88(b),9-1-36(a),119
469,9-1-36(a),9-1-104,9-1-36(a),119
470,9-1-36(a),22-2-88(b),9-1-36(a),119
471,9-1-36(a),22-2-88(b),9-1-36(a),119
472,9-1-36(a),22-2-88(b),9-1-36(a),119
473,9-1-36(a),22-2-88(a),9-1-36(a),119
474,9-1-36(a),22-2-88(b),9-1-36(a),119
475,9-1-36(a),22-2-88(b),9-1-36(a),119
476,9-1-36(a),22-2-88(b),9-1-36(a),119
477,9-1-36(a),22-2-43,9-1-36(a),119
478,9-1-36(a),22-2-88(b),9-1-36(a),119
479,9-1-36(a),9-1-104,9-1-36(a),119
480,9-1-36(a),22-2-88(b),9-1-36(a),119
481,9-1-36(a),22-2-88(b),9-1-36(a),119
482,9-1-36(a),9-1-104,9-1-36(a),119
483,9-1-36(a),22-2-43,9-1-36(a),119
484,9-1-36(a),9-1-104,9-1-36(a),119
485,9-1-36(a),22-2-88(b),9-1-36(a),119
486,22-2-83(a)(b)(c),22-2-88(b),22-2-83(a)(b)(c),25
487,9-1-36(a),22-2-88(b),9-1-36(a),119
488,9-1-36(a),22-2-22(a),9-1-36(a),119
489,9-1-36(a),22-2-88(b),9-1-36(a),119
490,9-1-36(a),22-2-43,9-1-36(a),119
491,9-1-36(a),22-2-88(b),9-1-36(a),119
492,9-1-36(a),22-2-88(b),9-1-36(a),119
493,9-1-36(a),22-2-88(b),9-1-36(a),119
494,9-1-36(a),22-2-88(b),9-1-36(a),119
495,9-1-36(a),9-1-110(a),9-1-36(a),119
496,9-1-36(a),9-1-110(a),9-1-36(a),119
497,9-1-36(a),22-2-88(b),9-1-36(a),119
498,9-1-36(a),9-1-104,9-1-36(a),119
499,9-1-36(a),22-2-61,9-1-36(a),119
500,9-1-36(a),22-2-88(b),9-1-36(a),119
501,9-1-36(a),9-1-104,9-1-36(a),119
502,9-1-36(a),9-1-104,9-1-36(a),119
503,9-1-36(a),22-2-88(b),9-1-36(a),119
504,9-1-36(a),22-2-88(b),9-1-36(a),119
505,9-1-36(a),22-2-88(b),9-1-36(a),119
506,9-1-36(a),9-1-104,9-1-36(a),119
507,9-1-36(a),22-2-88(b),9-1-36(a),119
508,9-1-36(a),22-2-88(b),9-1-36(a),119
509,9-1-36(a),22-2-88(b),9-1-36(a),119
510,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
511,9-1-36(a),22-2-88(b),9-1-36(a),119
512,9-1-36(a),9-1-110(a),9-1-36(a),119
513,9-1-36(a),9-1-104,9-1-36(a),119
